Id,Label
continent,continent
mother,mother
birth,birth
bear,bear
pet,pet
name,name
little,little
compare,compare
sympathy,sympathy
pray,pray
speedy,speedy
victory,victory
encouraging,encouraging
unique,unique
moment,moment
capture,capture
deputy,deputy
lie,lie
prepare,prepare
short,short
term,term
ceremony,ceremony
place,place
night,night
moon,moon
actively,actively
later,later
document,document
beyond,beyond
tourism,tourism
plane,plane
strand,strand
abroad,abroad
leishenshan,leishenshan
different,different
ban,ban
income,income
voice,voice
notice,notice
affair,affair
panic,panic
develop,develop
vaccine,vaccine
comment,comment
maintain,maintain
importance,importance
low,low
defeat,defeat
travel,travel
artist,artist
additional,additional
sept,sept
move,move
cambodia,cambodia
california,california
tackle,tackle
railway,railway
ticket,ticket
single,single
coal,coal
energy,energy
least,least
hail,hail
employee,employee
ago,ago
site,site
racism,racism
related,related
progress,progress
way,way
busy,busy
threat,threat
task,task
land,land
airport,airport
afternoon,afternoon
pay,pay
india,india
thousand,thousand
locally,locally
consumption,consumption
impose,impose
natural,natural
tie,tie
side,side
russian,russian
current,current
believe,believe
willing,willing
strict,strict
bed,bed
administrative,administrative
activity,activity
ten,ten
ambulance,ambulance
newly,newly
station,station
county,county
north,north
art,art
read,read
negative,negative
past,past
strain,strain
add,add
tune,tune
record,record
commerce,commerce
address,address
reserve,reserve
technology,technology
fully,fully
history,history
upgrade,upgrade
relief,relief
kim,kim
animal,animal
chain,chain
fish,fish
guide,guide
transparency,transparency
detect,detect
agriculture,agriculture
anti,anti
though,though
evidence,evidence
prove,prove
transmit,transmit
department,department
every,every
seek,seek
morning,morning
deadly,deadly
thailand,thailand
france,france
decade,decade
gather,gather
difference,difference
chartered,chartered
decision,decision
advice,advice
hotel,hotel
designate,designate
accommodate,accommodate
tourist,tourist
stun,stun
scenery,scenery
football,football
hospitalize,hospitalize
safeguard,safeguard
love,love
traveler,traveler
australian,australian
serious,serious
effective,effective
famous,famous
host,host
scramble,scramble
communist,communist
gathering,gathering
speak,speak
think,think
middle,middle
bill,bill
clock,clock
witness,witness
race,race
continue,continue
war,war
limit,limit
access,access
quick,quick
series,series
hero,hero
attraction,attraction
heart,heart
feature,feature
room,room
alert,alert
walk,walk
vow,vow
practice,practice
date,date
lose,lose
must,must
seven,seven
municipality,municipality
reform,reform
construction,construction
specialized,specialized
equipment,equipment
korea,korea
vietnam,vietnam
celebration,celebration
game,game
recent,recent
range,range
six,six
necessary,necessary
screen,screen
celebrate,celebrate
music,music
primary,primary
book,book
domestic,domestic
eye,eye
experience,experience
eve,eve
gratitude,gratitude
expand,expand
design,design
meter,meter
tribute,tribute
bridge,bridge
